,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
13406,fd990ab2d3894922,129,115,8,38,2016-08-08 10:00:20,2016-08-08 10:58:30,3490.0,2244.0,301.0,30.0,,15370
13441,088682f5c573ed4e,120,110,1,48,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,3300.0,30.0,30.0,,30604
13454,ca28ab7f1230199e,120,107,15,93,2016-08-08 10:00:19,2016-08-08 10:59:50,3571.0,3211.0,31.0,30.0,,60280
13456,2b1564a9cb8f9744,353,275,4,62,2016-08-08 10:00:16,2016-08-08 10:59:56,3580.0,2750.0,45.0,10.0,,35143
13460,cd2ebb1986d96a19,211,210,2,74,2016-08-08 10:00:20,2016-08-08 10:59:56,3576.0,3555.0,88.0,15.0,,48305
13463,ef965c700b06668e,246,207,8,87,2016-08-08 10:00:20,2016-08-08 11:00:05,3585.0,2880.0,60.0,15.0,,46157
13464,9bf3bd0cbc6ba7d2,231,110,2,85,2016-08-08 10:00:11,2016-08-08 10:59:41,3570.0,1635.0,60.0,15.0,,21807
13465,d52d823e04f458ac,212,161,2,76,2016-08-08 10:00:21,2016-08-08 10:59:27,3546.0,2400.0,60.0,15.0,,26912
13472,910cd688112473f1,191,144,2,65,2016-08-08 10:00:21,2016-08-08 10:59:36,3555.0,2160.0,60.0,15.0,,21902
13474,8c190c3f45fadc21,218,106,3,119,2016-08-08 10:00:20,2016-08-08 10:59:51,3571.0,1671.0,60.0,15.0,,85366
13485,c77d329501541b74,154,113,3,66,2016-08-08 10:00:21,2016-08-08 10:59:57,3576.0,1680.0,60.0,15.0,,16960
13489,8bff72390f5aace3,186,115,5,57,2016-08-08 10:00:19,2016-08-08 10:59:51,3572.0,1472.0,30.0,30.0,,9777
13502,00fbdd7b2b665aae,117,104,1,46,2016-08-08 10:00:21,2016-08-08 10:59:52,3571.0,3182.0,120.0,30.0,,16778
13505,1e8f154d07f09a54,117,115,1,114,2016-08-08 10:00:21,2016-08-08 11:00:06,3585.0,3525.0,241.0,30.0,,69852
13562,a5b4df6bf5ee1c0e,345,138,6,59,2016-08-08 09:59:59,2016-08-08 10:59:49,3590.0,1430.0,30.0,10.0,,15927
13567,9925f3856f0e4540,177,169,6,60,2016-08-08 10:00:22,2016-08-08 10:44:56,2674.0,2554.0,30.0,15.0,,25084
13569,6bbac557e6dc38df,230,198,7,60,2016-08-08 10:00:20,2016-08-08 10:59:55,3575.0,3065.0,112.0,15.0,,34086
13571,7493199b665721e1,169,139,7,58,2016-08-08 10:00:20,2016-08-08 10:59:48,3568.0,2083.0,120.0,15.0,,20337
13572,0e8e7390aa57638f,115,102,5,59,2016-08-08 10:00:21,2016-08-08 10:57:43,3442.0,3059.0,60.0,30.0,,24415
13577,f791513526748c12,120,108,12,97,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,3240.0,30.0,30.0,,68040
13580,11e6f4874ab64cd4,118,111,6,83,2016-08-08 10:00:20,2016-08-08 10:58:23,3483.0,3273.0,30.0,30.0,,39171
13581,96cbe29ab225ccad,118,117,8,94,2016-08-08 10:00:19,2016-08-08 10:59:49,3570.0,3540.0,61.0,30.0,,78513
13592,46d5920023ff2454,122,103,1,41,2016-08-08 10:00:20,2016-08-08 11:00:04,3584.0,3058.0,31.0,30.0,,16670
13608,3065c9e98c4228bd,118,117,10,56,2016-08-08 10:00:20,2016-08-08 10:57:52,3452.0,3392.0,142.0,60.0,,32778
13610,e53b5dc186ad3333,330,208,7,94,2016-08-08 10:00:20,2016-08-08 10:58:58,3518.0,1900.0,225.0,1.0,,19233
13618,095d1e4b6d45354b,186,171,10,95,2016-08-08 10:00:18,2016-08-08 10:58:01,3463.0,3152.0,29.0,26.0,,78901
13628,2f3ff6627cf8f4cf,161,128,4,96,2016-08-08 10:00:18,2016-08-08 10:57:24,3426.0,2567.0,52.0,26.0,,44118
13629,3c4964e61d252bd8,140,113,8,47,2016-08-08 10:00:20,2016-08-08 10:59:59,3579.0,2946.0,51.0,25.0,,24442
13632,2ea441c67c639ed7,141,108,5,61,2016-08-08 10:00:19,2016-08-08 10:59:14,3535.0,2748.0,111.0,25.0,,24478
13634,b7da8a0fa3a1c08c,181,175,2,95,2016-08-08 10:00:20,2016-08-08 10:57:19,3419.0,3263.0,27.0,26.0,,69898
13643,89cf4f6e3b52cfc4,378,299,3,46,2016-08-08 10:00:12,2016-08-08 11:00:05,3593.0,2783.0,21.0,10.0,,18265
13656,2b2eef180183002e,120,102,3,72,2016-08-08 10:00:21,2016-08-08 10:59:51,3570.0,3030.0,30.0,30.0,,25692
